...1,verbatimScientificName,verbatimTraitName,verbatimTraitValue,verbatimTraitValueSD,verbatimTraitValueCV,verbatimTraitValueType,verbatimTraitMethod,verbatimTraitUnit,verbatimN1,verbatimN1Unit,verbatimN2,verbatimN2Unit,Area,ShortReference,FullReference,AdditionalInfo1,AdditionalInfo2,AdditionalInfo3,Short ref,Full ref,coordinateX-WGS84,coordinateY-WGS84
NA,Eptesicus_serotinus,CallStartFrequency,40.77,8.35,20,mean of means,unknown,kHz,247,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_serotinus,CallEndFrequency,24.31,1.75,7,mean of means,unknown,kHz,247,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_serotinus,CallBandwidth,16.46,7.54,46,mean of means,unknown,kHz,247,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_serotinus,CallPeakFrequency,27.07,3.26,12,mean of means,unknown,kHz,247,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,InterpulseInterval,210.4,67.37,32,mean of means,unknown,ms,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallDuration,14,3.18,23,mean of means,unknown,ms,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallStartFrequency,33.78,5.86,17,mean of means,unknown,kHz,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallEndFrequency,24.11,1.29,5,mean of means,unknown,kHz,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallBandwidth,9.67,5.39,56,mean of means,unknown,kHz,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallPeakFrequency,25.28,1.61,6,mean of means,unknown,kHz,178,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,InterpulseInterval,268.08,113.89,42,mean of means,unknown,ms,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallDuration,10.47,2.87,27,mean of means,unknown,ms,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallStartFrequency,35.22,5.1,14,mean of means,unknown,kHz,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallEndFrequency,24.85,1.51,6,mean of means,unknown,kHz,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallBandwidth,10.37,4.19,40,mean of means,unknown,kHz,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallPeakFrequency,25.82,1.74,7,mean of means,unknown,kHz,123,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,InterpulseInterval,297.81,101.41,34,mean of means,unknown,ms,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallDuration,14.49,3.46,24,mean of means,unknown,ms,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallStartFrequency,31.05,4.83,16,mean of means,unknown,kHz,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallEndFrequency,21.9,1.68,8,mean of means,unknown,kHz,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallBandwidth,9.16,3.58,39,mean of means,unknown,kHz,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallPeakFrequency,22.76,1.89,8,mean of means,unknown,kHz,182,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,InterpulseInterval,390.14,147.11,38,mean of means,unknown,ms,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallDuration,19.53,4.77,24,mean of means,unknown,ms,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallStartFrequency,25.19,6.4,25,mean of means,unknown,kHz,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallEndFrequency,16.29,2.22,14,mean of means,unknown,kHz,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallBandwidth,8.94,5.1,57,mean of means,unknown,kHz,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallPeakFrequency,17.69,2.8,16,mean of means,unknown,kHz,196,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,InterpulseInterval,456.11,207.59,46,mean of means,unknown,ms,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallDuration,15.93,3.2,20,mean of means,unknown,ms,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallStartFrequency,21.08,4.27,20,mean of means,unknown,kHz,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallEndFrequency,12.69,1.37,11,mean of means,unknown,kHz,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallBandwidth,8.39,3.55,42,mean of means,unknown,kHz,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallPeakFrequency,13.64,1.47,11,mean of means,unknown,kHz,144,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_ferrumequinum,CallPeakFrequency,82.4,1.7,2,mean of means,unknown,kHz,53,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_euryale,CallPeakFrequency,102.8,1.2,1,mean of means,unknown,kHz,151,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_mehelyi,CallPeakFrequency,107.2,2,2,mean of means,unknown,kHz,26,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_hipposideros,CallPeakFrequency,109.4,2.8,3,mean of means,unknown,kHz,129,call,NA,NA,Europe,Barataud (2015),"Barataud, M. (2015) Acoustic ecology of European bats, species identification, study of their habitat and foraging behavior. Paris: MusÃ©um national dâ€™histoire naturelle; Biotope: MÃ¨ze.",NA,NA,NA,NA,NA,NA,NA
NA,Barbastella_barbastellus,CallMidFrequency,33.43,1.72,5,mean,free-flight,kHz,2622,call,NA,NA,"France, Lithuania, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_isabellinus,CallMidFrequency,25.69,2.92,11,mean,free-flight,kHz,1404,call,NA,NA,Spain,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_nilssonii,CallMidFrequency,29.26,0.07,0,mean,free-flight,kHz,109,call,NA,NA,Lithuania,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_serotinus,CallMidFrequency,28.27,3.2,11,mean,free-flight,kHz,11035,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Hypsugo_savii,CallMidFrequency,34.03,2.07,6,mean,free-flight,kHz,4332,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Miniopterus_schreibersii,CallMidFrequency,51.99,1.88,4,mean,free-flight,kHz,5085,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_alcathoe,CallMidFrequency,51.07,2.73,5,mean,free-flight,kHz,7243,call,NA,NA,"Croatia, France, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_bechsteinii,CallMidFrequency,43.01,5.86,14,mean,free-flight,kHz,3159,call,NA,NA,"Croatia, France, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_blythii,CallMidFrequency,31.87,3.16,10,mean,free-flight,kHz,1979,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_brandtii,CallMidFrequency,42.37,2.75,6,mean,free-flight,kHz,9756,call,NA,NA,"France, Poland, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_capaccinii,CallMidFrequency,44.15,2.37,5,mean,free-flight,kHz,4852,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_dasycneme,CallMidFrequency,34.53,1.56,5,mean,free-flight,kHz,222,call,NA,NA,Lithuania,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_daubentonii,CallMidFrequency,43.72,4.87,11,mean,free-flight,kHz,9677,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_emarginatus,CallMidFrequency,52.69,7.03,13,mean,free-flight,kHz,4232,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_myotis,CallMidFrequency,29.76,2.21,7,mean,free-flight,kHz,658,call,NA,NA,"France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_mystacinus,CallMidFrequency,45.21,4.25,9,mean,free-flight,kHz,7478,call,NA,NA,"Croatia, France, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_nattereri,CallMidFrequency,39.81,9.47,24,mean,free-flight,kHz,2709,call,NA,NA,"Croatia, France, Poland, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_punicus,CallMidFrequency,31.05,1.84,6,mean,free-flight,kHz,25,call,NA,NA,France,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_crypticus,CallMidFrequency,33.86,4.96,15,mean,free-flight,kHz,2045,call,NA,NA,"France, Spain",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallMidFrequency,13.92,1.83,13,mean,free-flight,kHz,656,call,NA,NA,"Croatia, France, Spain",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallMidFrequency,24.12,2.1,9,mean,free-flight,kHz,4048,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallMidFrequency,21.24,2.48,12,mean,free-flight,kHz,4728,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_kuhlii,CallMidFrequency,39.5,2.64,7,mean,free-flight,kHz,31366,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_nathusii,CallMidFrequency,39.39,2.05,5,mean,free-flight,kHz,7797,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_pipistrellus,CallMidFrequency,47.49,0.37,1,mean,free-flight,kHz,16559,call,NA,NA,"Croatia, France, Lithuania, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_pygmaeus,CallMidFrequency,54.69,2.54,5,mean,free-flight,kHz,17415,call,NA,NA,"Croatia, France, Lithuania, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Plecotus_auritus,CallMidFrequency,27.68,3.78,14,mean,free-flight,kHz,1630,call,NA,NA,"France, Lithuania, Poland, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Plecotus_austriacus,CallMidFrequency,27.44,2.56,9,mean,free-flight,kHz,4371,call,NA,NA,"France, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Plecotus_kolombatovici,CallMidFrequency,32.28,5.23,16,mean,free-flight,kHz,76,call,NA,NA,"Croatia, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Plecotus_macrobullaris,CallMidFrequency,23.68,3.51,15,mean,free-flight,kHz,390,call,NA,NA,"France, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_euryale,CallMidFrequency,102.62,1.34,1,mean,free-flight,kHz,3056,call,NA,NA,"France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_ferrumequinum,CallMidFrequency,79.85,1.38,2,mean,free-flight,kHz,2350,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Rhinolophus_hipposideros,CallMidFrequency,106.11,5.54,5,mean,free-flight,kHz,6090,call,NA,NA,"France, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Tadarida_teniotis,CallMidFrequency,12.31,1.34,11,mean,free-flight,kHz,2730,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Vespertilio_murinus,CallMidFrequency,27.64,1.26,5,mean,free-flight,kHz,129,call,NA,NA,"Croatia, France, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Barbastella_barbastellus,CallMinFrequency,30.88,2.06,7,mean,free-flight,kHz,2622,call,NA,NA,"France, Lithuania, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_isabellinus,CallMinFrequency,24.08,3.22,13,mean,free-flight,kHz,1404,call,NA,NA,Spain,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_nilssonii,CallMinFrequency,28.36,1.01,4,mean,free-flight,kHz,109,call,NA,NA,Lithuania,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Eptesicus_serotinus,CallMinFrequency,26.24,3.74,14,mean,free-flight,kHz,11035,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Hypsugo_savii,CallMinFrequency,32.7,2.49,8,mean,free-flight,kHz,4332,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Miniopterus_schreibersii,CallMinFrequency,50.49,2.73,5,mean,free-flight,kHz,5085,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_alcathoe,CallMinFrequency,47.36,3.42,7,mean,free-flight,kHz,7243,call,NA,NA,"Croatia, France, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_bechsteinii,CallMinFrequency,36.61,6.38,17,mean,free-flight,kHz,3159,call,NA,NA,"Croatia, France, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_blythii,CallMinFrequency,28.31,3.53,12,mean,free-flight,kHz,1979,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_brandtii,CallMinFrequency,38.37,4.2,11,mean,free-flight,kHz,9756,call,NA,NA,"France, Poland, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_capaccinii,CallMinFrequency,41.25,3.22,8,mean,free-flight,kHz,4852,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_dasycneme,CallMinFrequency,32.27,2.3,7,mean,free-flight,kHz,222,call,NA,NA,Lithuania,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_daubentonii,CallMinFrequency,36.38,5.14,14,mean,free-flight,kHz,9677,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_emarginatus,CallMinFrequency,47.19,6.73,14,mean,free-flight,kHz,4232,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_myotis,CallMinFrequency,26.05,2.56,10,mean,free-flight,kHz,658,call,NA,NA,"France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_mystacinus,CallMinFrequency,40.55,4.7,12,mean,free-flight,kHz,7478,call,NA,NA,"Croatia, France, Spain, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_nattereri,CallMinFrequency,30.97,8.19,26,mean,free-flight,kHz,2709,call,NA,NA,"Croatia, France, Poland, Turkey, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_punicus,CallMinFrequency,26.18,5.68,22,mean,free-flight,kHz,25,call,NA,NA,France,Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Myotis_crypticus,CallMinFrequency,28.59,4.88,17,mean,free-flight,kHz,2045,call,NA,NA,"France, Spain",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_lasiopterus,CallMinFrequency,12.82,2.26,18,mean,free-flight,kHz,656,call,NA,NA,"Croatia, France, Spain",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_leisleri,CallMinFrequency,22.71,2.55,11,mean,free-flight,kHz,4048,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Nyctalus_noctula,CallMinFrequency,19.71,3.01,15,mean,free-flight,kHz,4728,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, UK",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_kuhlii,CallMinFrequency,37.58,3.61,10,mean,free-flight,kHz,31366,call,NA,NA,"Croatia, France, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
NA,Pipistrellus_nathusii,CallMinFrequency,38.06,3.49,9,mean,free-flight,kHz,7797,call,NA,NA,"Croatia, France, Lithuania, Poland, Spain, Turkey",Vigie-Chiro,Unpublished data from the Vigie-Chiro program,NA,NA,NA,NA,NA,NA,NA
